ID,Name,Gender,Age,OverAllRating,ReviewType,ReviewTitle,Benefits,Money,Experience,Purchase,claimsProcess,SpeedResolution,Fairness,ReviewDate,Review,Recommend,ColCount,,,,
777,hoddesdon69,Male,65 or over,5,Buyer review,great customer service in buying insurance,4,5,5,5,NA,NA,NA,29/10/2013,customer service department well equipped to answer any questions and helpful in their approach to my purchase,I would recommend  to a friend,18,,,,
778,caroletta,Female,45 to 54,5,Buyer review,Excellent Value,5,5,5,5,NA,NA,NA,29/10/2013,Have just taken out home insurance policy and cannot believe the excellent value for money I have received. Have previously taken out separate cover for Ipads but have now got this included for around the same price as I paid last year.,I would recommend  to a friend,18,,,,
779,Baloo,Male,65 or over,5,Buyer review,Good cover for a good price,5,5,5,5,NA,NA,NA,29/10/2013,"quick and easy to do on-line with help at hand at the touch of a button if needed.
Really good cover for a reasonable price with the option to include extra cover if needed for each individuals needs.
We also took out our car insurance with  as well getting a discount as we took the house ins & also discount for two cars.
Would recommend  to friends & family.",I would recommend  to a friend,18,,,,
780,Brianran,Male,65 or over,5,Buyer review,Exactly what I wanted both price and cover were A1,5,5,5,5,NA,NA,NA,29/10/2013,"We had used the old Norwich Union company but when my ex employer insurance went up too high I decided to enquire from  (now the owners of the old Norwich Union) and was pleased that they seem to have kept the old friendly service.
I got a product that covered my requirements and showed value for money and quality of cover.
What more can one want.",I would recommend  to a friend,18,,,,
781,enigma42,Female,65 or over,4,Claim review,Great Customer Service,NA,NA,4,NA,5,4,5,28/10/2013,First class experience with regard to my recent claim. All contractors necessary arranged by  and regular phone calls to me to ascertain progress. Most impressed with efficient and polite customer service and would certainly recommend to anyone seeking household insurance.,I would recommend  to a friend,18,,,,
782,Bibby,Female,65 or over,5,Buyer review,Good Service,4,5,5,5,NA,NA,NA,28/10/2013,Each year i am concerned about the cost of insurance and House and Contents is one of the largest. I was relieved to find that Avivia could help me so thank you.,I would recommend  to a friend,18,,,,
783,Carriselle,Female,35 to 44,5,Buyer review,Fantastic customer service,5,5,5,5,NA,NA,NA,28/10/2013,Ive just taken a home insurance policy. I rang the general enquiries line first as we have a special case which I needed to ensure was covered and it was. I then went online and got a quote which was much cheaper than my existing provider. I got a phone call from Laura a couple of days later and she answered further questions I had. She was so professional and courteous that even if it hadnt been the cheapest quote I would have taken it anyway. Excellent customer service is hard to come by these days and reflects the ethos of a company. I would recommend  to everyone,I would recommend  to a friend,18,,,,
784,Oldowl2006,Female,65 or over,5,Claim review,Excellent service,NA,NA,5,NA,5,4,5,28/10/2013,"The whole process was dealt with in a very professional manner from the office to the tradesmen.
We were advised on every step of the work that was to be undertaken.
The tradesmen were very polite and tidy.
Very pleased indeed.",I would recommend  to a friend,18,,,,
785,Frank,Male,65 or over,4,Buyer review,Better than renewal,4,4,5,5,NA,NA,NA,28/10/2013,Received renewal notice from Broker then obtained quote direct from  (existing Insurer) which was lower. Told Broker who still wouldnt match so bought from helpful  person. Will also try  for other policies to see if mulrti policy discount works !,I would recommend  to a friend,18,,,,
786,Andypandy,Male,45 to 54,5,Buyer review, insurance,5,4,5,5,NA,NA,NA,28/10/2013,Top quality product very easy to set up will recommend to all.,I would recommend  to a friend,18,,,,
787,NA,Male,25 to 34,5,Buyer review,Simple home insurance,5,4,5,5,NA,NA,NA,28/10/2013,Excellent value home insurance. Simple to buy highly recommended.,I would recommend  to a friend,18,,,,
788,CHANT,Male,55 to 64,5,Buyer review,Easy and friendly,5,4,5,5,NA,NA,NA,27/10/2013,I was sorting out the policy online hit a few problems so rang  direct straight through to an advisor gave me clarification very quickly was efficentfriendly and knowledgable.A great service with a smile.,I would recommend  to a friend,18,,,,
789,BETTYBOO,Female,55 to 64,4,Buyer review,GOOD VALUE,4,5,4,5,NA,NA,NA,27/10/2013,by far the cheapest I could findgood value for money and with a good well known reputable company not one you have never ever heard of from the internet..forms easy to complete and always the online help if needed,I would recommend  to a friend,18,,,,
790,Fiesta1,Male,65 or over,4,Buyer review,Home & contents,4,5,5,5,NA,NA,NA,27/10/2013,Very easy to do with contact available if required.What more can you want,I would recommend  to a friend,18,,,,
791,Myst,Male,25 to 34,5,Buyer review,Great so far,4,5,4,4,NA,NA,NA,27/10/2013,For me the proof of a good insurance company comes when you claim which Ive not had to do yet however the initial setup was very easy and the staff were helpful. The call centre is very loud (lots of background noise making hearing the operator difficult at times) which is annoying but they are open at useful times. Overall a good experience so far.,I would recommend  to a friend,18,,,,
792,Pompom,Female,35 to 44,5,Buyer review,Great service overall,5,5,5,5,NA,NA,NA,27/10/2013,"From start to finish  were accommodating and professional throughout! In this virtual world that we live in it was really helpful to speak to someone with ease for further assistance!
Thank you .",I would recommend  to a friend,18,,,,
793,Kitty,Female,35 to 44,4,Buyer review,Review 1,4,4,4,4,NA,NA,NA,26/10/2013,Very good website easy to follow all information is email so I can leave it in my inbox no need to print it out.,I would recommend  to a friend,18,,,,
794,zahoor54cav,Male,45 to 54,5,Buyer review,good customer services,5,5,5,5,NA,NA,NA,25/10/2013,Yes it will indeed give me advantage in car insurance as wel,NA,18,,,,
795,Nobby69,Male,45 to 54,5,Buyer review,Taylor made for my needs,5,4,5,5,NA,NA,NA,25/10/2013,Good value for money.exellent insurance 5 star very pleased,I would recommend  to a friend,18,,,,
796,Unhappy,Female,35 to 44,1,Claim review,MISS SOLD,NA,NA,1,NA,1,1,3,24/10/2013,"Well never again. Sorry but thats how I feel so not a happy chappie

I shouldnt have had to dispute your offer that didnt cover the damaged item",NA,18,,,,
797,Port,Male,45 to 54,5,Buyer review,Easy and straightforward no hassle,5,5,5,5,NA,NA,NA,24/10/2013,Very easy to set up and simple to understand. Very happy with the service offered and no hassle at all.,I would recommend  to a friend,18,,,,
798,wondergran,Female,65 or over,5,Buyer review,Home Insurance,4,4,5,5,NA,NA,NA,24/10/2013,Decided to change as my present insurer was pushing up the cost year after year. Looked at  and for the same cover the cost was nearly half. Doing it all online was very easy and straight forward. Would certainly recommend  to anybody looking for competative home insurance.,I would recommend  to a friend,18,,,,
799,Busymum,Female,35 to 44,5,Buyer review,Sooooo Easy,5,5,5,5,NA,NA,NA,24/10/2013,My Renewal for house insurance had gone up yet again so decided to shop around. Found the  website. The questions were put in simple English and it was an easy website to use (unlike some others). The quote was cheaper than my renewal for the same level of cover. I did everything online and it was really easy. My documents came in the post a few days later as Id requested. Finally a company that does what it says it will do. Would recommend.,I would recommend  to a friend,18,,,,
800,suenortheast,Female,55 to 64,5,Buyer review,Home insurance,5,5,5,5,NA,NA,NA,24/10/2013,Easy to use website and friendly customer service when I ring in without long wait on automated lines. Very good value for money. I am pleased with the service.,I would recommend  to a friend,18,,,,
801,robert,NA,NA,5,Buyer review,done it with ease,5,5,5,5,NA,NA,NA,24/10/2013,easy to do on internet did not take long and it was all up and running,I would recommend  to a friend,18,,,,
802,annee,Female,45 to 54,4,Buyer review,home insurance,5,4,5,5,NA,NA,NA,24/10/2013,A policy that does what it says on the tin....no fuss no frills just good insurance cover for a fair price,I would recommend  to a friend,18,,,,
803,suenortheast,Female,55 to 64,5,Buyer review,Home insurance,5,5,5,4,NA,NA,NA,23/10/2013,I have been with various home insurers and never needed to claim. But my premiums had just kept rising well above inflation. Somebody recommended  for car insurance and I was pleased with the ease that the application was processed and the price etc. Also the ease of being able to contact and upgrade for other products. So I thought Id get a quote for home insurance and halved my usual annual bill but also had all the additional features I needed for full cover.,I would recommend  to a friend,18,,,,
804,Oldby,Male,65 or over,5,Buyer review,Great Service and Value.,5,5,5,4,NA,NA,NA,22/10/2013,"Having other insurance with  gave me a discount. Coverage and value are excellent and the service very friendly. I could not fault it and I am very happy to recommend it.

Oldby",I would recommend  to a friend,18,,,,
805,Disappointed,Male,35 to 44,3,Claim review,Cycle claim,NA,NA,1,NA,2,2,1,22/10/2013,When my bicycle was stolen from my shed I claimed on my insurance. Initially  acted very quickly in addressing the claim and referring me to an \expert\ company which deals with cycle claims. The person I spoke to had little knowledge about bikes.  gave me 3 options a hugely lowered cash settlement or replacement like for like from their supplier or credit note some 24% higher than the cash amount. I preferred to use a local supplier however due to financial constraints applied to them by the insurance company they couldnt offer me anything near my loss. It was left to me to contact the insurance company and drive the claim in the end. That said when I decided on the cash settlement it was dealt with promptly.,NA,18,,,,
806,NA,Male,65 or over,3,Claim review,If only s input had matched that of their partner (who I am apparently not allowed to name!),NA,NA,3,NA,3,2,4,22/10/2013,Overall a positive experience and I am totally satisfied with the outcome of my recent claim. This was due almost entirely though to the work of the  partner (I am not allowed to name them?) who pulled out all the stops to settle quickly when I had unfortunately lost my spectacles and was relying on a very old pair to see. This was after  staff had insisted things could not be rushed by their partner when the timescale turned out longer than had been suggested to me. It transpired that the delay had been caused by  who had not passed the claim forward.Only after a number of calls to  - I spoke to about four different people - was I able to move things forward. Thanks again to the (nameless) partner.,I would recommend  to a friend,18,,,,
807,Frog,Male,55 to 64,4,Buyer review,Good customer support,4,4,5,NA,NA,NA,NA,22/10/2013,Website enquiry very easy to use with response by return telephone sales team were very helpfull with good advise on policy to suit my requirement they were pleasant to speak to with no pressure to proceed with policy,I would recommend  to a friend,18,,,,
808,Fairmead,Female,55 to 64,5,Buyer review,Easy website,5,5,5,5,NA,NA,NA,21/10/2013,Easy website and clear details of the required policy.,NA,18,,,,
809,MrBrightside,Male,35 to 44,5,Buyer review,Really quick and easy,4,5,4,4,NA,NA,NA,21/10/2013,By far the cheapest Buildings & Contents insurance we got. Easy website to use to customise your insurance. No problems at all.,I would recommend  to a friend,18,,,,
810,topcat,Female,35 to 44,4,Buyer review,great price,4,4,5,5,NA,NA,NA,21/10/2013,Excellent customer service great price for a whole package,I would recommend  to a friend,18,,,,
811,EvansR,Male,45 to 54,5,Buyer review,I found it easy.,5,4,5,5,NA,NA,NA,21/10/2013,This was the first time I had used this site and I found it easy to get a quote. Having got the quote I was surprised and pleased with it. It was made easier on the pocket with a monthly payment plan.I also made a couple of phone calls to change something on the plan and found the telephonist very helpful indeed. They didnt appear in a rush and had no problem helping me.I hope next years quote is as competitive.,I would recommend  to a friend,18,,,,
812,Frank,Male,45 to 54,5,Buyer review,Easy to purpose and excellent value,5,5,4,5,NA,NA,NA,21/10/2013,Less than half the price of my existing policy with similar levels of cover,I would recommend  to a friend,18,,,,
813,Floodchaos,Male,45 to 54,1,Claim review, shifting responsibility,NA,NA,1,NA,4,1,2,20/10/2013," quickly agreed to deal with the claim and passed me over to the loss adjuster. This is when it started to go wrong However as I paid  I must hold them responsible.
A flood is very stressful I had no experience of so did not know what to do or expect. I did expect the Loss Adjuster to be helpful and efficient.
Their first visit they did not even bring a damp meter to determine the extent of the damage. This appeared to be a theme they where more interested in claiming mileage and leaving their dryers and dehumidifiers in than progressing the job. My neighbour a builder was also flooded. The builders I got in is also a friend so helped. These advising me so I could ask the Loss Adjuster.
In summary it took over a week to get the heaters and dehumdifiers in over three weeks before they agreed the kitchen needed re-plastering!
I was passed through 3 or 4 people at the Loss Adjuster.
It did improve over the months!
Why cant  produce a guide to help customers",NA,18,,,,
814,pennydog,Female,65 or over,5,Buyer review,Very good customer service,5,4,4,5,NA,NA,NA,20/10/2013,I am most pleased with this company and highly recommend them.,I would recommend  to a friend,18,,,,
815,Wardrice1,Female,65 or over,5,Buyer review,Value for money,5,5,5,5,NA,NA,NA,20/10/2013, is a well known make and I have confidence in them. The lady on the phone was helpful and friendly and gave me peace of mind that all would be well should I have to claim which I hope I do not.,I would recommend  to a friend,18,,,,
816,Gander,Male,55 to 64,4,Buyer review,Home/Contents Insurance,5,4,5,5,NA,NA,NA,20/10/2013," website is refreshingly clear and simple.
I particularly like the protected no claims option. Other insurers make it impossible to calculate whether it would be worth making a small claim as they refuse to tell how much the premium willl be raised the following year(s) in the event of a claim.",I would recommend  to a friend,18,,,,
817,bluesman,Male,65 or over,4,Buyer review,good deal,4,4,4,5,NA,NA,NA,20/10/2013,I saved a considerable amount of money by going with  for our house insurance. I will now consider using  for car insurance when the present policy is due for renewal.,I would recommend  to a friend,18,,,,
818,bracks007,Male,55 to 64,5,Buyer review,Home and contents,5,4,4,4,NA,NA,NA,19/10/2013,Generally quick and easy to follow website.Lots of different options with regards to mix and match with which items you want to cover.Overall a good experience and value for moneysorted,I would recommend  to a friend,18,,,,
819,sapper,Male,45 to 54,5,Buyer review,Happy,4,5,5,5,NA,NA,NA,19/10/2013,"We now have both car and home insurance with  both where great value I came away saving money from my previous insurances without losing the same cover.
Thats what we all won`t at the moment surely.",I would recommend  to a friend,18,,,,
820,wilko,Male,45 to 54,5,Buyer review,Home insurance,5,5,5,5,NA,NA,NA,19/10/2013,"Easy experience when getting House insurance renewed.
I also had questions that were answered well and I wanted extra cover on bicycles and personal portable items.
All in all it was an easy and pleasing experience.
So change to  yourselves",I would recommend  to a friend,18,,,,
821,rocahula,NA,65 or over,5,Claim review,great service,NA,NA,5,NA,5,5,5,18/10/2013,"helpful and handled my claim with efficiency and empathy
Never having claimed before I was amazed at how efficient and helpful the staff that handled my claim were.
would recommend this company to anyone who asked.",I would recommend  to a friend,18,,,,
822,sporty,Male,65 or over,5,Buyer review,great customer service,5,5,5,5,NA,NA,NA,17/10/2013,very good web site easy to use and purchase product all paper work came on time very pleased,I would recommend  to a friend,18,,,,
823,luton46,Male,65 or over,5,Buyer review,Easy website to use,5,5,5,5,NA,NA,NA,17/10/2013,Extremely easy to purchase. Covered all my questions within the various screen pages. Will recommend to friends.,I would recommend  to a friend,18,,,,
824,Chei,Female,45 to 54,4,Buyer review,Value for Money,5,4,4,5,NA,NA,NA,17/10/2013,Having had buildings and contents insurance with the same provider for many years I thought I would change and look for a better deal via the comparison sites,  didnt seem to show up on the comparison sites so I visited their website direct and managed to get a better deal. I was so pleased! I felt the online process of applying wasnt too onerous and I feel the policy offers a lot for the price.The proof will be when there may be a need to make a claim!,I would recommend  to a friend,18,,,
825,Sizi,Female,45 to 54,5,Buyer review,Good experience,5,5,5,5,NA,NA,NA,17/10/2013,Good experience helpful staff. Good product excellent price.,I would recommend  to a friend,18,,,,
826,Poclrn,Female,55 to 64,5,Buyer review,Satisfied customer,5,5,5,5,NA,NA,NA,16/10/2013,"I have no hesitation in recommending . Not only was the transition from my old company done with ease but the person I dealt with was friendly very efficient and informative. He took me through everything step by step and very satisfactorily.
But on top of all this I saved money.
I will not be going anywhere else!!",I would recommend  to a friend,18,,,,
827,scottiedog,Female,65 or over,5,Buyer review,first class service.,5,5,5,5,NA,NA,NA,16/10/2013,good to talk to on the phone.web page was clear and easy to use .good cover for money.half the price of my old insurance.,I would recommend  to a friend,18,,,,
828,crazyeyes,Female,65 or over,3,Buyer review,crazyeyes,4,3,3,3,NA,NA,NA,16/10/2013,as i am a new customer i have not form any opinion as yet but all i can say everything was straight forward so far.,I would recommend  to a friend,18,,,,
829,Rocksteddie,Male,55 to 64,4,Buyer review,Plain simple easy to understand,4,5,4,4,NA,NA,NA,15/10/2013,Having looked at several comparisons to last years policy which had become far too expensive  online came up trumps on features and value for money. Hopefully I will not need to claim but if I do I hope that any future claims experience will be as good and fair as the buying experience!,I would recommend  to a friend,18,,,,
830,JOJON,Male,65 or over,1,Claim review,POOR CUSTOMER SERVICE,NA,NA,1,NA,1,1,1,15/10/2013,"CUSTOMERS WHO HAVE PAID GOOD MONEY TO INSURE THEIR GOODS SHOULD NOT BE TREATED LIKE I WAS I ALWAYS THINK ABOUT THE FATE OF OTHER CUSTOMERS WHO CANNOT DEAL WITH INSURANCE ISSUESTHE ONLY CREDIT THAT  OBTAINS AS A RESULT OF MY EXPERIENCE IS DOWN TO THE WAY THAT THE MATTER WAS DEALT WITH AFTER RAISING THE ISSUE WITH THE FINANCIAL OMBUDSMAN THANK GOD FOR THE OMBUDSMAN

REGARDS JOJON",NA,18,,,,
831,golfdevil,Male,65 or over,5,Buyer review,Easier than I thought!,4,4,5,5,NA,NA,NA,15/10/2013,I needed to review my home insurance and had not been looking forward to it. However I was recommended by a friend to try . I found it a rewarding experience with helpful staff able to answer my many queries. As a result I found a policy that met my needs at a lower cost.,I would recommend  to a friend,18,,,,
832,Gracelands,Male,35 to 44,5,Claim review,Fast and efficient claim process,NA,NA,5,NA,5,5,4,14/10/2013,Our claim for a lost engagement ring was dealt with speedily and very efficiently. Staff were knowledgeable professional and understanding - especially in light of the fact the item lost held a lot of sentimental value. I would recommend  to friends / colleagues.,I would recommend  to a friend,18,,,,
833,Bristol,Male,35 to 44,4,Claim review,Happy customer,NA,NA,4,NA,4,4,4,14/10/2013,Very satisfied with the customer service we received. Swift resolution overall.,I would recommend  to a friend,18,,,,
834,pjb55,Male,55 to 64,4,Buyer review,good service,4,5,4,4,NA,NA,NA,14/10/2013,All done over the phone great at a time to suit me,I would recommend  to a friend,18,,,,
835,Fireclaim,Female,35 to 44,5,Claim review,Fire in our large garden shed caused ﾣ1000s damage,NA,NA,5,NA,5,4,5,14/10/2013,Easy forms to complete on line with a quick reaction time from  staff started the claim process off well. Damage assessors visit arranged within a few days. Assessors had to be phoned a couple of times to get the claim progressing but 10/10 to  paid out fairly quickly. Would recommend and have renewed for this coming year.,I would recommend  to a friend,18,,,,
836,TILLYCAT8,Male,65 or over,4,Buyer review,HOME INS,4,4,4,4,NA,NA,NA,13/10/2013,AFTER CHECKING MANY MANY COMPONIES.  WAS THE BEST VALUE I COULD FIND FOR 2013,I would recommend  to a friend,18,,,,
837,grumpy,Male,55 to 64,5,Buyer review,Easy application,5,5,5,5,NA,NA,NA,13/10/2013,"I found the website very clear and straightforward. The application process was easy to follow and complete. Making necessary amendments was also easily done.
The policy features were explained clearly and were beneficial.
The process was simple and the product is excellent",I would recommend  to a friend,18,,,,
838,sollyd,Male,65 or over,5,Buyer review,great value and service online and telephone follow up,5,5,5,5,NA,NA,NA,13/10/2013,"excellent cover for home and content and accidental damage
comprehensive and good premium value.
i trust that in the case of any unforseen claim that the service and the management of the reinstatement will match the excellent care and advice service offerred in setting up the policy.
look forward to a long and trouble free relationship with .",I would recommend  to a friend,18,,,,
839,schalter,Male,65 or over,4,Buyer review,caramboli,4,3,3,4,NA,NA,NA,13/10/2013,There is not a lot I can coment on because this is the firdt time I have taken out a policy with your company.,I would recommend  to a friend,18,,,,
840,HopeINeverNeedIt,Female,45 to 54,5,Buyer review,Good blanket cover,5,4,5,5,NA,NA,NA,13/10/2013,Shopped around for a while and decided  was a good overall buy. I liked that you could tailor the basic cover to suit own needs. I hope I dont need to use it but as long as the claim is smooth if I do then Ill be happy. Thats what you pay the bit extra for in my opinion.,I would recommend  to a friend,18,,,,
841,joe123123,Male,45 to 54,5,Buyer review,great,5,5,5,5,NA,NA,NA,12/10/2013,very helpfull a 11111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,I would recommend  to a friend,18,,,,
842,londonlou,Female,35 to 44,5,Buyer review,experience,4,5,5,5,NA,NA,NA,12/10/2013,Excellent all round. Very good value and easy either on telephone or on line.,I would recommend  to a friend,18,,,,
843,retired,Female,55 to 64,4,Buyer review,building & contents insurance,4,4,4,4,NA,NA,NA,12/10/2013,Phone call was easy details taken and quote was good details posted and within a few days account was up and running on internet due to price and customer service would recommend,I would recommend  to a friend,18,,,,
844,Spireite,Male,45 to 54,5,Claim review,Excellent Management of Claims Process,NA,NA,5,NA,5,4,5,12/10/2013,"Ive never had to make a claim before but I have to praise both the personnel at  as well as the process online. It quite simply could not be easier to both process & deal with a claim.
My problem related to accidental damage to ourTV caused by my children. Once I had provided evidence & the correct documentation the management of my claim was excellent. I was fully updated with the progress & never had to chase for something to be done. The service was clear concise efficient & effective.
Im happy to recommend  to all my friends & family.",I would recommend  to a friend,18,,,,
845,Hannahd,Female,65 or over,5,Buyer review,Great Service,5,5,5,5,NA,NA,NA,11/10/2013,I bought this policy on behalf of my 95 year old grandmother It was very simple to do staff were extremely helpful and the level of cover is impressive. Not forgetting the premium was very good. All in all she is a very happy customer.,I would recommend  to a friend,18,,,,
846,Longinthetooth,Male,65 or over,5,Claim review,For example: Great Customer Service. I would endorse your example.,NA,NA,5,NA,5,5,5,10/10/2013,Initially I decided to bear the cost of minor storm damage repairs personally and accepted the estimate of the builder concerned. He then raised health and safety issues which added more than 500% to his original. Suspecting this might be a con of some sort I then obtained an estimate from a second builder and the process was repeated but in two parts. I made a claim after the first H & S issue was incorporated and by this time I was out of what I would consider reasonable time after the event for making a claim. After submitting estimates for the damage caused which was then agreed the builder then raised additional H&S issues and required more money. This change was quickly approved by your agent without question.,I would recommend  to a friend,18,,,,
847,johnnyboy1940,Male,65 or over,4,Buyer review,Could not be much better.,4,5,4,5,NA,NA,NA,10/10/2013,Exactly what I wanted. Cost was far lower than other quotes from elsewhere.,I would recommend  to a friend,18,,,,
848,Whyme,Male,45 to 54,3,Buyer review,Chasing the Quote,NA,NA,NA,NA,NA,NA,NA,10/10/2013,Having looked at the quote and compared the pros and cons I purchased the policy and paid for it total. I was annoyed to receive not one but two email reminders over the new few days informing me the quote wad still valid.  need to get their electronic systems connected so reminders are not sent out formulates purchased but thank you emails for buying from them.,NA,18,,,,
849,Stan,Male,35 to 44,5,Claim review,Good quick flexible and fair,NA,NA,5,NA,5,5,5,9/10/2013,"Claim on my kitchen due to water damage from burst pipe.

Very easy to get through on phone and someone came out to inspect the damage within the week. They were very honest and flexible over whether to use their workmen for the repair or they would give me the money and I could sort it out myself.

I opted for the money and I confirmed bank details and they promptly did a bank transfer for the amount less the excess. All communication apart from the initial call was via email directly to one contact who I could call directly if required. No messing around with lots of different people or call centres - the whole process was very painless easy and smooth.

I will definitely recommend and continue to insure with them in the future.",I would recommend  to a friend,18,,,,
850,jock2,Male,65 or over,5,Buyer review,clear and easy to apply,4,5,4,5,NA,NA,NA,9/10/2013,compared several other companies and found  best of all both with price and product contants,I would recommend  to a friend,18,,,,
851,David,Male,65 or over,5,Buyer review,Competitive price with added discount,5,5,5,5,NA,NA,NA,9/10/2013,My wife and I both have our cars insured with . When I mentioned this during the House Insurance enquiry we were offered an additional discount off an already extremely competitive price. Furthermore now that we have our property insured with  we will receive and additional discount when we come to renew our car insurance. Cant be bad!,I would recommend  to a friend,18,,,,
852,Artone,NA,NA,4,Buyer review,Puzzled,4,5,3,5,NA,NA,NA,9/10/2013,I was happy with most aspects of the insurance process except that a month or so later I have still received no policy documents and do not feel insured somehow! Perhaps I am just old fashioned or is there something sinister about the omission? I thought I read somewhere along the way that policy documents would follow.,I would recommend  to a friend,18,,,,
853,bernie,NA,35 to 44,1,Claim review,home and contents insurance claim,NA,NA,1,NA,3,4,1,9/10/2013,Unfortunately i have not had a good experience with the quality of the goods recieved in my claim. I also disagree with the cost claimed by the insurance firm. This has totally been inflated. The actual speed that the claim was dealt with was excellent but it has taught me a lesson to insist I used the repairer I want! I have not renewed my insurance with  due to my experience!,NA,18,,,,
854,Dikkydido,Male,55 to 64,5,Buyer review,Easy to apply online,5,5,5,5,NA,NA,NA,9/10/2013,The deal for a new customer to the product seemed to good to ignore and the whole process of applying on line was easy and straight forward. The edit option was easy to use allowing me to make changes and tailor the policy whilst updating the cost which allowed me to see if certain parts of the policy were worth the additional cost. In the end I was able to get better cover than that from my existing provider and savings were still made. It now remains to be seen if savings will be maintained when renewal is due.,I would recommend  to a friend,18,,,,
855,LIGNOM,Male,65 or over,5,Buyer review,Value for money.,5,5,5,5,NA,NA,NA,9/10/2013,very easy to manage on line simple and unambiguous. The price was much lower than my renewal quote from elsewhere,I would recommend  to a friend,18,,,,
856,centrefog,Male,65 or over,5,Buyer review,The advantages of multiple insurances,4,5,5,5,NA,NA,NA,9/10/2013,I was pleased to take out my policy with  particularly when I was advised that by having other insurance policies with them ie Car insurance I was entitled to a significant discount.,I would recommend  to a friend,18,,,,
857,Nauldy,Male,65 or over,5,Claim review,Responded brilliantly when I needed them,NA,NA,5,NA,5,5,5,8/10/2013,We were broken into - in the daylight with the burglar alarm sounding off! These guys (?) just wanted my car keys to steal my car. \Professionals\: the police said. We were left to deal with the aftermath of broken windows  stolen house keys  damaged floor  etc.  responded brilliantly! One phone call and workmen came to make our house secure  change our locks  order a replacement window - all done and dusted within a few hours. A few days later our window was replaced. We found someone to repair our floor and everything back to normal. Renewed our insurance with  without hesitation.,I would recommend  to a friend,18,,,,
858,AMCQ,Female,45 to 54,5,Buyer review,HOME INSURANCE WHICH BEAT CURRENT PROVIDER BY FAR!,5,5,5,5,NA,NA,NA,8/10/2013,QUICK AND EASY TO GET QUOTEMUCH CHEAPER THAN CURRENT PROVIDERALL DONE ONLINE AND YOU STATE THE DATE FOR IT TO START.,I would recommend  to a friend,18,,,,
859,pandemicookieboy,Male,55 to 64,5,Buyer review,home insurance,5,5,5,5,NA,NA,NA,8/10/2013,very reasonable offer and price and easy to apply on line.,I would recommend  to a friend,18,,,,
860,morian,Male,65 or over,5,Buyer review,very good service very informative & easy to understand,4,4,5,4,NA,NA,NA,8/10/2013, was very informative and and quick good repitwar over the phone,I would recommend  to a friend,18,,,,
861,SwiftLady,Female,55 to 64,5,Buyer review,Excellent Experience,4,5,5,5,NA,NA,NA,8/10/2013,I had been with my previous home insurer for 19 years but I was paying far too much.  gave me a more comprehensive cover for a significant reduction in cost. In my comparison review I rang the call centre and they rang me to sort out my questions before I made a final purchase online. I could also read the full policy online before purchasing. I was very happy with their service. I also have 2 cars insured with them and the service there was excellent too. I would not hesitate to recommend them as every member of staff delivers excellent customer service.,I would recommend  to a friend,18,,,,
862,Dw049,Male,25 to 34,5,Buyer review,Great customer service,5,5,5,5,NA,NA,NA,8/10/2013,Staff were friendly and polite. All my questions were answered. Hopefully I never need to claim,I would recommend  to a friend,18,,,,
863,MyNickname,Male,35 to 44,5,Buyer review,Impressive,4,5,5,5,NA,NA,NA,7/10/2013,My application was made on line and saved me a great deal of money per year on combined home and contents insurance from my previous supplier. I later made an enquiry via the telephone helpline and the chap even called me back with some further advise which was much appreciated. Very impressed.,I would recommend  to a friend,18,,,,
864,MarkC,Male,45 to 54,5,Buyer review,Easy as...,5,5,5,5,NA,NA,NA,7/10/2013,"Had the renewal notice from my current insurer we have been claim free for many years but the premium kept increasing. We have car insurance with  and that was really easy to arrange so I thought give them a try.

The on-line system was very easy to use and we could change things and get an updated quote straight away.

Buying was easy too as soon as we had the quote which suited us click click and it was done. I wish it was as easy to cancel the old policy!",I would recommend  to a friend,18,,,,
865,nikki,Female,55 to 64,5,Buyer review,Excellent service,5,5,5,5,NA,NA,NA,7/10/2013,Well informed and friendly staff who understood my requirements and found the ideal policy at an excellent price.,I would recommend  to a friend,18,,,,
866,Georgie,Female,35 to 44,5,Buyer review,Great customer service,5,5,5,5,NA,NA,NA,7/10/2013,The person I spoke to was friendly helpful and knowledgeable. My quotation wasnt completely straightforward so he advised exactly what I needed to do. When it took a bit longer for me to get the required information and my renewal date was due my details were quickly found and processed. There was no need to call to chase up (as I have had to do with other insurance companies): somebody got back to me within two hours and everything was arranged. I was delighted with the efficient service and have already recommended  to friends. As Im from Norwich I am pleased to be able to say how well a local company has done!,I would recommend  to a friend,18,,,,
867,bowler1935,Male,65 or over,5,Buyer review,friendly pleasant transaction,5,5,5,5,NA,NA,NA,7/10/2013,"the home contents policy was good value for the price
the vehicle (car) insurance was very good and the service
from the the staff excellent. well pleased.",I would recommend  to a friend,18,,,,
868,Zafod,Male,55 to 64,5,Buyer review,Excellent customer service,4,4,4,4,NA,NA,NA,7/10/2013,The call staff are very polite and thorough in tailoring a policy suited to your needs.,I would recommend  to a friend,18,,,,
869,kitty,NA,65 or over,5,Buyer review,Easy to use system and helpful staff,5,5,5,5,NA,NA,NA,7/10/2013,Both our houses covered with minimal restrictions and good cover,I would recommend  to a friend,18,,,,
